PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,Location
27.2227332,0.5460141,0.0644,0.23656,7.472177754,465.6552734,0.4,352,317,367,385,350,423,571,424,0.239956569,-0.217484009,2692,0.88683258,0.0425,0.286036036,0.555858311,1.48378858,0.721518987,-0.090039841,344.76,2.19,1.0546,0.68,0.019631026,0.218271854,0.031869389,0.226991025,Westport
16.3517536,0.3369568,0.0379,0.23178,4.968177755,467.6552734,0.397,338,297,327,319,283,343,480,325,0.25819135,-0.189591078,2692,0.910164657,0.14057508,0.235521236,0.467889908,1.27037567,1.201438849,-0.130434783,352.32,2.19,1.0546,0.68,0.030772058,0.222602177,0.027721365,0.228063685,Westport
29.4672768,0.5891784,0.04295,0.14576,9.825066553,394.5134277,0.437,355,336,400,410,395,448,649,469,0.243295019,-0.237368923,2692,0.891187858,0.010893246,0.317766497,0.6225,1.60221875,0.616883117,-0.062815884,373.56,2.19,1.0546,0.68,-0.065099917,0.24233383,-0.04662704,0.242981489,Westport
23.3895064,0.4722982,0.03689,0.15771,6.062568543,205.8637695,0.393,334,293,316,301,273,303,415,286,0.206395349,-0.135430917,2692,0.841897586,0.14527027,0.172316384,0.313291139,1.134583801,1.506329114,-0.189453125,271.56,2.19,1.0546,0.68,-0.046804378,0.230652919,-0.026256973,0.23469994,Westport
25.4974876,0.5128363,0.04204,0.16487,3.436301145,223.8592822,0.427,358,334,394,416,398,442,608,425,0.208747515,-0.213572854,2692,0.845208849,-0.008733624,0.290870488,0.543147208,1.558813677,0.539568345,-0.089820359,296.16,2.19,1.0546,0.68,-0.004392653,0.217011566,0.053782851,0.200939748,Westport
26.18083,0.5259775,0.04692,0.17921,4.644309395,189.6465137,0.401,340,310,347,339,311,367,524,380,0.25508982,-0.203214696,2692,0.906258385,0.103448276,0.256594724,0.510086455,1.353420425,0.988764045,-0.112616427,362.88,2.19,1.0546,0.68,-0.019578992,0.220241266,0.076345361,0.165309496,Westport
25.0060408,0.5033854,0.05139,0.2055,4.475919722,165.0904834,0.351,339,293,319,302,267,309,422,300,0.224963716,-0.13900135,2692,0.867023321,0.177474403,0.18041958,0.322884013,1.107241478,1.675324675,-0.183752418,304.32,2.19,1.0546,0.68,-0.024466669,0.226940029,0.079106779,0.163602183,Westport
20.7868596,0.4222473,0.04123,0.19833,4.412253302,144.9486377,0.406,331,297,324,310,281,314,452,329,0.233287858,-0.164948454,2692,0.878058484,0.13961039,0.20694259,0.395061728,1.209914647,1.285714286,-0.15750233,313.32,2.19,1.0546,0.68,-0.004049763,0.228496698,0.056184999,0.19643992,Westport
21.6039096,0.4379598,0.04543,0.21027,5.48055681,129.6351611,0.39,337,300,329,318,289,334,471,333,0.239473684,-0.1775,2692,0.886160254,0.125786164,0.221789883,0.431610942,1.257554901,1.167938931,-0.143636364,324.48,2.19,1.0546,0.68,0.036593011,0.227471593,0.114614995,0.162459869,Westport
19.5933192,0.3992946,0.0398,0.20311,6.613690613,119.9784229,0.313,332,293,318,299,267,305,433,305,0.237142857,-0.153129161,2692,0.883098921,0.174657534,0.192837466,0.36163522,1.14325976,1.584269663,-0.170498084,318.6,2.19,1.0546,0.68,0.137223586,0.16101149,0.197839336,0.101465714,Westport
18.992428,0.387739,0.03721,0.19594,6.727231535,118.5642383,0.374,330,286,315,292,262,308,446,302,0.259887006,-0.172141919,2692,0.91228441,0.182130584,0.218579235,0.415873016,1.177646762,1.448598131,-0.148042025,347.64,2.19,1.0546,0.68,0.227763441,0.095371704,0.251989753,0.061624715,Westport
